row ID,inChI,Molecular Weight,ChEMBL ID,DOI,Assay Description,minusLogIC50 (M),Canonical SMILES
1169,"InChI=1S/C20H25NO4/c1-12(2)15-10-16(13(3)7-17(15)22)21-11-14-8-18(23-4)20(25-6)19(9-14)24-5/h7-12,22H,1-6H3/b21-11+",343.4,CHEMBL2316842,10.1016/j.bmcl.2012.12.001,Antioxidant activity assessed as DPPH radical scavenging activity in chloroform solution 30 min (manual check),4.18380710038655,COc1cc(C=Nc2cc(C(C)C)c(O)cc2C)cc(OC)c1OC
1272,"InChI=1S/C16H22N2O2/c1-13(14-6-5-9-17-11-14)18-12-16(10-15(19)20)7-3-2-4-8-16/h5-6,9,11H,2-4,7-8,10,12H2,1H3,(H,19,20)/b18-13+",274.4,CHEMBL2236490,10.1007/s00044-010-9498-8,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 min,3.14128045688546,CC(=NCC1(CC(=O)O)CCCCC1)c1cccnc1
1997,"InChI=1S/C25H17IN4O2/c1-15(13-22(31)16-7-3-2-4-8-16)28-29-23-19-14-17(26)11-12-21(19)30-24(23)27-20-10-6-5-9-18(20)25(30)32/h2-14,31H,1H3/b22-13-,28-15+,29-23-",532.3,CHEMBL4078775,10.1016/j.bmcl.2017.08.064,Antioxidant activity assessed as DPPH radical scavenging activity incubated for 30 mins under dark condition by UV-vis spectrophotometric method,4.93554201077308,CC(C=C(O)c1ccccc1)=NN=C1c2cc(I)ccc2-n2c1nc1ccccc1c2=O
392,"InChI=1S/C31H26N2O8P2/c34-33(35)26-15-13-14-25(24-26)32-31(42(36,38-27-16-5-1-6-17-27)39-28-18-7-2-8-19-28)43(37,40-29-20-9-3-10-21-29)41-30-22-11-4-12-23-30/h1-24,31-32H",616.5,CHEMBL1824398,10.1016/j.ejmech.2011.02.038,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 mins,4.19223789500624,O=[N+]([O-])c1cccc(NC(P(=O)(Oc2ccccc2)Oc2ccccc2)P(=O)(Oc2ccccc2)Oc2ccccc2)c1
1583,"InChI=1S/C24H16FN3O4S/c25-18-4-2-1-3-17(18)19(29)11-7-14-5-8-15(9-6-14)22(32)26-24-28-27-23(33-24)16-10-12-20(30)21(31)13-16/h1-13,30-31H,(H,26,28,32)/b11-7+",461.5,CHEMBL4287428,10.1039/C8MD00316E,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 mins,4.85667287000795,O=C(Nc1nnc(-c2ccc(O)c(O)c2)s1)c1ccc(C=CC(=O)c2ccccc2F)cc1
542,"InChI=1S/C20H24O7/c1-25-17-11-14(6-7-15(17)23)20(24)19(12-22)27-16-8-5-13(4-3-9-21)10-18(16)26-2/h3-8,10-11,19-24H,9,12H2,1-2H3/b4-3+/t19-,20+/m1/s1",376.4,CHEMBL560169,10.1021/np800488p,Antioxidant activity assessed as DPPH radical scavenging activity after 30 mins by spectrophotometry,4.21538270736712,COc1cc(C(O)C(CO)Oc2ccc(C=CCO)cc2OC)ccc1O
1091,"InChI=1S/C29H26O7/c1-36-29(16-4-8-19(31)9-5-16)28-23-13-22(34)14-24(35)27(23)26(17-10-20(32)12-21(33)11-17)25(28)15-2-6-18(30)7-3-15/h2-14,25-26,28-35H,1H3/t25-,26-,28-,29-/m0/s1",486.5,CHEMBL1939064,10.1016/j.bmcl.2011.12.012,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 mins by microplate reader assay,4.11299823102329,COC(c1ccc(O)cc1)C1c2cc(O)cc(O)c2C(c2cc(O)cc(O)c2)C1c1ccc(O)cc1
1770,"InChI=1S/C24H34O4S/c1-14-7-6-8-20-23(14,4)10-9-15(2)24(20,5)13-17-11-18(25)12-19(21(17)26)29-16(3)22(27)28/h7,11-12,15-16,20,25-26H,6,8-10,13H2,1-5H3,(H,27,28)/t15-,16?,20+,23+,24+/m0/s1",418.6,CHEMBL575634,10.1021/np800318m,Antioxidant activity assessed as DPPH radical scavenging activity 30 min (manual check),4.46092390120722,CC1=CCCC2C1(C)CCC(C)C2(C)Cc1cc(O)cc(SC(C)C(=O)O)c1O
467,"InChI=1S/C22H18N4/c1-2-6-16(7-3-1)22-21(17-8-4-5-9-18(17)24-22)20-14-19(25-26-20)15-10-12-23-13-11-15/h1-13,20,24,26H,14H2",338.4,CHEMBL4171020,10.1016/j.ejmech.2018.01.026,Antioxidant activity assessed as inhibition of DPPH radical formation after 30 mins,4.32994943950463,c1ccc(-c2[nH]c3ccccc3c2C2CC(c3ccncc3)=NN2)cc1
318,"InChI=1S/C30H34ClN3O3/c1-18-11-20-13-21(12-18)29-25(14-20)34-24-16-22(31)7-8-23(24)30(29)32-10-4-3-5-28(36)33-17-19-6-9-26(35)27(15-19)37-2/h6-9,11,15-16,20-21,35H,3-5,10,12-14,17H2,1-2H3,(H,32,34)(H,33,36)",520.1,CHEMBL4743210,10.1021/acs.jmedchem.0c01775,Antioxidant activity assessed as DPPH radical scavenging activity incubated for 30 mins under dark condition by UV-Vis spectrophotometric analysis,4.16430942850757,COc1cc(CNC(=O)CCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
